model,seed,project,run_id,url,source,output_scale,total_parameters,activated_parameters_per_token,validation_lm_loss,validation_perplexity,median_tokens_per_second,runtime_seconds,peak_reserved_bytes,stories_lm_loss,wiki_lm_loss,code_lm_loss,math_lm_loss
Standard-1024 scale-1,1337,splitmoe-paper-review-scale,wz40ogtj,https://www.kaggle.com/code/zenitsu1agatsuma/review-std1-b128-s1337,Kaggle offline W&B artifact,1.0,134390272,46309888,3.085512638092041,21.878679812407245,15759.764195336313,13801.043051827,4383047680,2.003235148191452,4.1319790983200075,2.534806237220764,3.6715688824653627
Standard-1024 scale-1,2027,splitmoe-paper-review-scale,inqv0us3,https://www.kaggle.com/code/hbpkillerx/review-std1-b128-s2027,Kaggle offline W&B artifact,1.0,134390272,46309888,3.0745577812194824,21.640310043720635,15485.303410260247,14171.600410919,4391436288,2.006213766336441,4.1174995231628415,2.51513066470623,3.6589085936546324
Standard-1024 scale-1,3407,splitmoe-paper-review-scale,98bk2kl1,https://www.kaggle.com/code/aivenger1st/review-std1-b128-s3407,Kaggle offline W&B artifact,1.0,134390272,46309888,3.083104133605957,21.826048320963565,14361.828024641869,15189.760707285,4391436288,2.0095335066318514,4.128711886405945,2.52114765971899,3.6725677680969238
Standard-1024 scale-0.7071,1337,splitmoe-paper-review-scale,lstu6dji,https://wandb.ai/hbpkillerx/splitmoe-paper-review-scale/runs/lstu6dji,W&B API,0.7071067811865476,134390272,46309888,3.0665550231933594,21.467819001452597,14919.554367047805,14592.87106176,4404019200,1.9922134065628052,4.106185021400452,2.516610204577446,3.650742495059967
Standard-1024 scale-0.7071,2027,splitmoe-paper-review-scale,10mrog7t,https://wandb.ai/hbpkillerx/splitmoe-paper-review-scale/runs/10mrog7t,W&B API,0.7071067811865476,134390272,46309888,3.053224563598633,21.1835420883012,15322.138046674409,14162.463659806,4404019200,1.9934373092651367,4.1001210474967955,2.4968678507208826,3.6220007133483887
Standard-1024 scale-0.7071,3407,splitmoe-paper-review-scale,gbr2y0v4,https://wandb.ai/hbpkillerx/splitmoe-paper-review-scale/runs/gbr2y0v4,W&B API,0.7071067811865476,134390272,46309888,3.0600545406341553,21.328720412241413,15532.5525020753,13982.974363244,4383047680,1.991165360212326,4.107252913713455,2.50673427850008,3.634587209224701
Split-25 scale-1,1337,splitmoe-paper-review-scale,jxqwolwq,https://wandb.ai/hbpkillerx/splitmoe-paper-review-scale/runs/jxqwolwq,W&B API,1.0,112370176,46309888,3.02592134475708,20.61298763302888,14408.342883182127,15113.44951623,3886022656,1.9718478655815124,4.058414072990417,2.470512173771858,3.6024311745166777
Split-25 scale-1,2027,splitmoe-paper-review-scale,hk4e6oad,https://wandb.ai/hbpkillerx/splitmoe-paper-review-scale/runs/hk4e6oad,W&B API,1.0,112370176,46309888,3.0281822681427,20.65964474301638,14667.456987756206,14786.55357109,3927965696,1.9786758589744569,4.060469806194305,2.472765311002731,3.6003587353229523
Split-25 scale-1,3407,splitmoe-paper-review-scale,cof2ale0,https://wandb.ai/hbpkillerx/splitmoe-paper-review-scale/runs/cof2ale0,W&B API,1.0,112370176,46309888,3.0207319259643555,20.506295282711633,13893.371261513308,15747.112379289,3927965696,1.9736969399452209,4.065051972866058,2.4596906971931456,3.5840279138088227
Split-25 scale-0.7071,1337,splitmoe-paper-review-scale,w3y9hvzg,https://www.kaggle.com/code/priyanshu3rdvivek/review-split07071-b128-s1337,Kaggle offline W&B artifact,0.7071067811865476,112370176,46309888,3.02602219581604,20.61506657949021,14516.67572170093,14937.581164493,3886022656,1.9762194085121154,4.065080850124359,2.4635260823369025,3.5988045358657836
Split-25 scale-0.7071,2027,splitmoe-paper-review-scale,ksv9fu3k,https://www.kaggle.com/code/copy1cat/review-split07071-b128-s2027,Kaggle offline W&B artifact,0.7071067811865476,112370176,46309888,3.025381326675415,20.601859252023825,14534.95879480303,14971.448463824,3927965696,1.9746446454524993,4.062067711353302,2.4772225648164747,3.5871088135242464
Split-25 scale-0.7071,3407,splitmoe-paper-review-scale,4q42c23o,https://www.kaggle.com/code/prinshu5257/review-split07071-b128-s3407,Kaggle offline W&B artifact,0.7071067811865476,112370176,46309888,3.021355628967285,20.51908911001794,15079.69731837308,14400.928316184,3886022656,1.9718171095848083,4.064499899148941,2.461541130840778,3.587087084054947
Standard-800 scale-1,1337,splitmoe-paper-review-storage,vme4rov2,https://wandb.ai/hbpkillerx/splitmoe-paper-review-storage/runs/vme4rov2,W&B API,1.0,112370176,43557376,3.088268518447876,21.939057995624655,15078.256781030906,14410.243659071,3642753024,2.0143742871284487,4.13868353843689,2.5306818145513534,3.6688548517227177
Standard-800 scale-1,2027,splitmoe-paper-review-storage,nvar9f18,https://wandb.ai/hbpkillerx/splitmoe-paper-review-storage/runs/nvar9f18,W&B API,1.0,112370176,43557376,3.0911436080932617,22.002225516727687,15615.222166209489,14139.766288409,3642753024,2.017224665880203,4.144145061969757,2.538710500895977,3.664010411500931
Standard-800 scale-1,3407,splitmoe-paper-review-storage,qj02qhlh,https://wandb.ai/hbpkillerx/splitmoe-paper-review-storage/runs/qj02qhlh,W&B API,1.0,112370176,43557376,3.0832576751708984,21.8293997838671,15233.941278667751,14348.622536216,3642753024,2.009160522222519,4.14507696390152,2.5127803191542624,3.6655488419532776
